Taxonomy,sample,relab,timepoint,mouse_id
Rikenellaceae,D12M36,0.0664826593063723,D12,M36
Deferribacteraceae,D12M36,0.0094803792151686,D12,M36
Oscillospiraceae,D12M36,0.0033601344053762,D12,M36
Ruminococcaceae,D12M36,0.0035201408056322,D12,M36
Muribaculaceae,D12M37,0.504060162406496,D12,M37
Bacteroidaceae,D12M37,0.0970838833553342,D12,M37
Lachnospiraceae,D12M37,0.122684907396296,D12,M37
Lactobacillaceae,D12M37,0.165806632265291,D12,M37
Erysipelotrichaceae,D12M37,0.0134805392215689,D12,M37
Akkermansiaceae,D12M37,0.000480019200768,D12,M37
Rikenellaceae,D12M37,0.0495219808792352,D12,M37
Deferribacteraceae,D12M37,0.0028401136045441,D12,M37
